Title,Rating,Name,Country,Date,Verification,Body
London Heathrow Airport customer review,0,F Ani,United Kingdom,5th January 2015,unverified,At Heathrow Terminal 5 waiting for bag drop. Absolutely unbelievable! Massive queues! Waited over 45minutes for bag drop! What's the point of having so many check-in counters but only a quarter of them is staffed! Hoping to become a world class airport? However there's not many choices when flying out or into London. Other 'London' airports are so far out of London and they are even worse then Heathrow!
London Heathrow Airport customer review,2,H Dein,United Kingdom,5th January 2015,unverified,Terminal 5. We arrived on an early morning flight from Cape Town and took more than an hour to get through transfer. Totally under provisioned for volume of traffic. This was not the first such experience but it was the worst to date. How can most other major airports manage to do the necessary in reasonable time?
London Heathrow Airport customer review,0,K Long,United Kingdom,31st December 2014,unverified,Terminal 2 a nightmare. Uncomfortable to use departures on level 5 accessible only by lifts if you have baggage. Then a walk in icy blast across an exposed area open to the elements. Self check-in a shambles. Walked forever to get to gate. I will fly from a regional airport next time and transit somewhere comfortable like Schipol or Zurich or Dubai.
London Heathrow Airport customer review,0,B Sandford,United Kingdom,21st December 2014,unverified,"Terminal 5. We arrived from South Africa to transfer to Edinburgh on Saturday 13th Dec and the late arriving A380 eventually parked at the far satellite - we then had to queue to board the very full transit train with everyone carrying luggage join the queue to follow ""Flight Connections"" queue to pass through passport control more escalators and walking brought us to yet another queue for security and on to the gate to queue yet again on those yellow footprints. Time to travel a few hundred yards = 70 minutes - and we caught our connection but our luggage did not. Terminal 5 seems to have been designed by the junior staff - it is not at well thought out why the complication of three separate buildings and the consequential underground railway? Terminal is such an unpleasant experience with absolutely no independent lounges and is so congested - pull it down and go back to the drawing board surely there are some competent architects who could make a much better job of it. Other large airports seem to manage it!"
London Heathrow Airport customer review,0,Tony Banwait,United States,21st December 2014,unverified,T5 in December from and to SFO. Arguably the worst terminal ever designed. Arrival you have to go down three sets of escalators catch a train then go up three sets of escalators. Immigration lines for non-UK passport holders was some 200 people with only 3 immigration officers. Clearing immigration took me 45 minutes. Departure about 50 minutes to clear security and again with the escalators adventure. Nothing modern about this terminal. Will avoid by not flying BA.
London Heathrow Airport customer review,2,H Hawkins,United Kingdom,18th December 2014,unverified,"Terminal 2. I have used this ""new"" terminal several times now and each time has been an appalling experience. When you see the kind of staff operating the terminal it becomes clear why. My most recent experience this week: I had checked in online electronic boarding pass in hand so I went straight to join the lengthy queue for baggage drop. Oh no you need to queue up at one of the self check-in machines to obtain luggage labels faff about sticking them on and then rejoin the ever lengthening baggage drop queue after being curtly questioned by a miserable looking ""jobsworth"" about your destination. Baggage drop itself was OK the lady even smiled slightly - things were looking up! Next stop security I decided to join one of the shorter queues but this was clearly not allowed as I was immediately blocked by jobsworth number two who had clearly decided on my behalf that I needed to join a much longer queue. I declined his kind offer and got some indecipherable response from him so I just carried on and was through security in no time at all. Caught flight all good. Return flight into T2 last night. Plane landed on time sat on apron near T2 for 10 minutes before pilot announced that the guiding something or other to the bridge had failed and we had to wait for an operator to arrive and guide the aircraft to the stand manually. Whatever it was then took another 20 minutes or so and it was then a case of down the steps onto the wet and windy tarmac up a flight of stairs into the terminal followed by something like a half mile trek involving a mix of operating and non-operating travelators and escalators and lengthy walkways to passport control. At least passport control was fairly quiet and the luggage soon arrived on the belt which unlike my previous T2 experience was actually working. Exit to car park got in lift lift not working. Into next lift not working. Finally made it to car on level 3 in third lift. Got to exit barrier and then had to queue for over 15 minutes due to chaotic mixture of 3 exit lanes going into one and some unfortunate punter having broken down on the exit road. I hate T2 it is almost beyond belief that a new terminal like this has so many faulty operations and so many rude and disenfranchised staff."
London Heathrow Airport customer review,10,Kevin Barrance,United Kingdom,18th December 2014,unverified,Flew from T1 to Lyon. What a shame this terminal is closing as currently it's an oasis of calm. Everything was a breeze from the security to the calm and effective BA lounge. What a joy!
London Heathrow Airport customer review,10,S Thomas,United Kingdom,18th December 2014,unverified,Terminal 4 don't understand why this airport receives such bad press. Terminal was busy with several flights to India plus other Asian destinations however there were lots of security channels open and the staff were handling the volume of passengers well and even with a smile. Terminal was clean lots of seats tablets for use if you want WiFi worked well and there was a nice viewing area. All staff I came across were nice and helpful. Lots of retail options available and I found the prices of duty free cheaper than the other airports I've visited in the last couple of weeks (Doha Zurich Paris Bangkok). Plus for those on a budget there's places like Pret Boots WHSmiths etc where the food was the same price as the high street. On return thanks to e-gates was through immigration in 2 minutes bags were out in 5 and was on the tube within 20 minutes of landing. Pretty impressive for an airport the size of Heathrow. I've been to some of the world's best airport (ICN SIN etc) and honestly on this occasions LHR T4 did just as good and needs to be given credit where due.
London Heathrow Airport customer review,3,Bob Motto,United Kingdom,10th December 2014,unverified,There is now so much focus on retail areas with little or no thought for the average traveling passenger. The retail outlets are all high end and seemed to be lacking customers. So much space is now taken for retail that the is little space to sit down without feeling overcrowded. T5 has a lot of construction going on considering that it is only a few years old. It's not a place you would not want to spend a lot of time in luckily I have access to the BA Lounge so I can escape the main areas however for those without access there is no other choice.
London Heathrow Airport customer review,7,Ross Clark,United Kingdom,10th December 2014,unverified,LHR T2 September (for arrival) and last week (for a quite separate departure). Works fine except that the free wifi doesn't work and the free Internet terminals use tablets - which are lousy to type on I think I'd rather pay for a proper implementation of both. This aspect was very frustrating otherwise T2 comes recommended. All the stuff we used to hate about T1 has now been attended to. The airport will also work better once Virgin's domestic flights stop next year - as we won't have to be photographed as well as everything else.
London Heathrow Airport customer review,0,J Rugh,United States,4th December 2014,unverified,Heathrow 5 is probably the worst airport to transit through I have ever experienced (and I have been through some bad ones in the past). They do not have a proper transit system in operation and you must go through passport control and bag screening even if you are just connecting to another flight. The screeners seemed to be working very slowly at passport control two agents were not taking people and were just chatting even though they could see that there were hundreds of people in line. At bag control they merged transit passengers with new passengers making lines very long. We had over an hour and just made our flight but our bags did not and many passengers missed flights. The English used to know how to run an airport but no longer. I will do everything I can to avoid Heathrow in the future.
London Heathrow Airport customer review,2,Marianne Franks,United Kingdom,1st December 2014,unverified,Due to various disabilities I flew business class from Washington D C to London Heathrow. Do not do this the cabin crew were fabulous but from the second we landed it was a nightmare. Not enough wheelchairs or staff even after waiting for 15 mins I was not taken to the passport area until nearly an hour later. My husband who had come to collect me checked the landing times and it had been brought forward to 6.07 so he left our home early to drive the two hours to the airport. He was really concerned as even the cabin crew had disembarked and I was no where to be seen. All other airports were fabulous just terminal 5 with its shabby business class lounge and disabled unfriendly seats. BA really lack any duty of care towards disabled passengers once you reach terminal 5.
London Heathrow Airport customer review,2,T Kimberley,United Kingdom,25th November 2014,unverified,Arrived at Terminal 5 with BA from HKG and we had to wait 50 minutes for our bags to appear on the carousel! After 40 minutes I went to the baggage desk to ask what was happening and after a few phone calls the BA staff member told me it was 'just busy and it's always like this!' So if it is always that way why hasn't something been done about it? I did notice the flight crews baggage came out first on the carousel!
London Heathrow Airport customer review,9,D Jackson,United Kingdom,20th November 2014,unverified,Terminal 2 - a pleasant experience. Clean efficient free computer tablets to use free half hour wifi amazing stainless steel sculpture. Food is usual rip off England.
London Heathrow Airport customer review,8,J Tydeman,United Kingdom,12th November 2014,unverified,Flew to Munich from Terminal 5. Security queues were okay though not very quick. I like the display boards which show which of the two security areas has the shortest queues. Good facilities airside. Had a drink and snack at Gordon Ramsay's where the service was very slow and the price high.
London Heathrow Airport customer review,5,M Hanagarth,United Kingdom,11th November 2014,unverified,"Landed at terminal 5 at 6.15am on 3rd November on a BA flight from Miami. To say we were ""packed in like sardines"" on the monorail to the immigration and baggage reclaim area is a massive understatement too many people for the area to cope with. Whilst waiting for our cases I visited the ladies toilets. I have to ask what goes on there over night? Certainly no cleaning. They were in a disgusting condition very dirty the floor the toilets everywhere. Empty soap dispensers. I am English and quite well travelled but have never seen airport cloakrooms so bad when arriving home. Just imagine what impression this gives visitors to this country the moment they arrive here."
London Heathrow Airport customer review,0,David Immelman,United Kingdom,11th November 2014,unverified,05h22. Standing at immigration. Long queues! One person handling passports! Ridiculous!
London Heathrow Airport customer review,0,Mike Ball,United Kingdom,11th November 2014,unverified,Arrived from Malta at 1910 on the 4th Nov and I was met by a member of staff at the aircraft door as requested - I was then transferred to an electric cart which dropped me off just before immigration so far so good. I was told I would have to wait for someone else to transport me through immigration to the baggage reclaim area. One hour and 10 minutes later they found somebody to take me to the baggage reclaim via immigration. Whilst waiting it was suggested that my wife (62) may like take me while a 30 something man walked beside us as he was not trained to push a wheelchair but would show us the way. I spoke to the manager in charge on the internal telephone who blamed the delay on the immigration and baggage reclaim area but refused to come up with a solution. My wife eventually went ahead to collect the baggage. Overall Heathrow should be ashamed of the way they treat disabled people with contempt but then they are only copying most other public bodies older persons not wanted.
London Heathrow Airport customer review,5,Alan Pratt,United Kingdom,5th November 2014,unverified,Arrived back into UK on 29 October. Immigration improving for UK passport holders but there needs to be more electronic gates in Terminal 3. 5 is not sufficient to absorb times of high usage. Luggage reclaim was slower than expected.
London Heathrow Airport customer review,0,S Fitzgerald,United Kingdom,31st October 2014,unverified,Just awful. Check in system failed. Security incompetent and rude. Fast track is a joke. Third world airport but no one seems to care.
London Heathrow Airport customer review,2,A Makins,Canada,31st October 2014,unverified,First time through new T2 and not impressed. Arrived on Air Canada around 10pm. Took forever to taxi to a gate followed by a walk the length of an upper floor of the terminal followed by a very long escalator down to a lower floor and an equally long walk back again. Finally reached passport control. Usual lengthy line for non-EU passports. Fortunately I have a UK passport and headed to the line for the machines (chip passports). Only 3-4 out of maybe 8-9 machines were operational and turns out it was a lot quicker to walk up to an agent where there were no queues (as an aside why are there so many desks for EU-passports that seem very lightly used when the number of desks for non-EU passport seems so inadequate - even in a new terminal?). On return to Canada was fortunate to be able to use priority check-in (very good) and avoid the chaos of general economy check-in. More long walks. AC business lounge is close to the gate miles beyond the main shopping area (there are a couple of shops near the gates but very limited selection). Was expecting a big improvement over T3 but layout seems very poorly thought out. Too bad.
London Heathrow Airport customer review,9,Michael Gardiner,United Kingdom,31st October 2014,unverified,I used Terminal 3 on the evening of 16 October taking the Oman Air flight to Muscat. Given that this is the oldest terminal still in use at Heathrow it was not bad at all. Security was particularly worthy of comment being quick enough (despite the usual clueless customers) and the guy who dealt with me was actually very pleasant. My bag was selected for extra screening - I have no problem with that - which was done swiftly and with some cheerful conversation. I appreciate that Heathrow operates close to full capacity and it does not take much to make it seize up but based purely on this experience there was nothing to stop me recommending the place.
London Heathrow Airport customer review,10,Suhail Shafi,United States,22nd October 2014,unverified,I recently transited on a long haul trip from the US to India. I flew with BA using their hub at Heathrow Terminal 5. I was very impressed and happy with the terminal. I saw Heathrow after almost a decade and the improvement is quite marked. Terminal Five is a magnificent terminal ultramodern with excellent cleanliness and facilities with very professional and helpful staff. The airport has an excellent selection of shops and restaurants. What I like most about Heathrow were the staff especially the purple coated helpers whose job is to assist and guide passengers. They should have more quiet sleeping areas at the airport. Right now the only sleeping areas in the airport offer hard benches suitable for resting not sleeping. I also think lounges for pay for the use of Economy passengers would be a help to make the place for attractive for long haul flyers. All in all a good airport experience a huge improvement from a decade ago.
London Heathrow Airport customer review,0,John Baxter,United Kingdom,22nd October 2014,unverified,Arrived at new terminal 2 on 15 October. Gate was not ready even though the terminal is not yet fully operational. No ground crew to install chocks etc. Massive long walk to immigration through mile long passages and the longest escalators in the world. Only 2 staff at immigration and biometric machines were not working. How badly designed is this terminal! Why park the planes miles away - I would much prefer buses. Heathrow generally is a disgrace but this new terminal will make is even worse if that is possible.
London Heathrow Airport customer review,9,Richard Hodges,United Kingdom,22nd October 2014,unverified,LHR T5 - Washington Dulles 29 Sept returning 14 October. I read the reports about T5 and wonder whether I have travelled to a different Terminal. Yes - there are tons of unnecessary retail outlets (do they ever make any money ?). Yes - there may be a bit of a queue at security. And exactly what airport doesn't have a queue at security in these modern times ? BUT - if you travel to ANY US port of entry (Washington Newark LAX Chicago Miami etc) you will see just how good Terminal 5 actually is. Alright - it's no Changi at Singapore but it's pretty darn good. Going out we had no queue at bag drop a minimal queue at security and found there are plenty of quiet corners to find seats away from the stretch of retails outlets. Coming back on 13th October we had to get the shuttle train to passport control and baggage reclaim but were through the electronic passport control claimed our baggage got our car from the Meet and Greet in the Short Term car park and were on the M25 heading North in 45 minutes. No complaints from me about Heathrow Terminal 5.
London Heathrow Airport customer review,1,Tony Hoare,United Kingdom,22nd October 2014,unverified,Terminal 2 is a nightmare - new terminal that does not deliver! Long! long! walks from aircraft to central area and no airbridge operators 2 out of 4 arrivals in 2 weeks.
London Heathrow Airport customer review,3,Mike Jacques,United Kingdom,13th October 2014,unverified,Transit through Terminal 5 is an ordeal and a dreadful welcome for visitors to our country. The management of passengers through security is nothing short of disgraceful. The airport management at senior level should decide what is more important a stress-free passage for passengers through security or to continue to open more retail outlets. At the moment it appears that the emphasis is to get passengers to spend more at the retail outlets than to establish a stress-free passage through security. With good logistical management this problem could be avoided.
London Heathrow Airport customer review,5,Derek Salter,South Africa,5th October 2014,unverified,Yet another disappointing experience at T5. Arrived at c gates. My connecting flight's gate not yet known. So had to get shuttle to section a. Very busy and like rush hour on the underground. Then waited at section a until gates shown - plenty of seats but seems so full and busy - nowhere pleasant to wait. Why no lounge for paying passengers as at the other terminals? Only BA preferred customers have that facility. Then another shuttle trip to b gates. Limited facilities there and seating around gate areas mediocre. Could learn from other airports which I used on the current trip - Johannesburg and LAX. BA and BAA and T5 not a good advert for wanting to travel via the UK.
London Heathrow Airport customer review,2,S I Wilson,United Kingdom,30th September 2014,unverified,Heathrow one of the largest airports world-wide and a disgrace short staffed no wheelchairs available for my travelling companion who has trouble walking whilst waiting for the wheelchair we missed our flight to Manchester - leading to a delay of over 4 hours till the next flight We had no problems with Airports in Chicago New York and Las Vegas who where top class. Get your act together Heathrow. And to top my first experience of ever using Heathrow arriving in Manchester my suitcase did not arrive with me. Next time I go direct from Manchester.
London Heathrow Airport customer review,0,Aileen Doherty,United Kingdom,30th September 2014,unverified,Took our son to term 2 last night. Chaos reigned at A counters. One was encouraged to print own bag check etc and then you had to join another queue. The machine would only print one of his boarding passes so he was not allowed to drop bag drop queue he had to join the special assistance queue. 50 minutes later he got to see a person and they checked his bags and printed the second boarding pass. He had checked in online the previous day with Singapore Airlines. Term 2 had grouped all the airlines together and so no individual queues for the airline you were travelling on. It has never been as bad as this in the last 40 years we have travelled through Heathrow. Who's so called bright idea was to lump groups of airlines together. The staff had to keep taking people out of the queues as they were going to miss their flights as the gates close an hour before take off. Shame this lovely new building cannot have proper facilities for the travelling passengers. Everyone says Heathrow is the worst airport in the world so why can they not do something about it. Better management is called for and more staff at busy times is needed.
London Heathrow Airport customer review,10,Richard Mac Bride,United States,28th September 2014,unverified,September 22 2014. I had a one hour international connection at T5. Everything went smoothly I was put in the priority line for both immigration and security. I made my connecting flight London-San Francisco with no problems.
London Heathrow Airport customer review,5,P Terry,United States,28th September 2014,unverified,When flying Virgin Atlantic from Terminal 3 be aware that the gates are a 20 minute walk from the security check point and there are NO food or beverage services at the gates. Layout appears designed to extract the last few pounds before leaving London.
London Heathrow Airport customer review,10,Bill Atkins,United Kingdom,28th September 2014,unverified,Sept 22 early am arrival from the US. I do not think I have cleared any airport I have travelled to faster than this. Zipped through Immigration and Fast Track - was in lounge about 15 minutes after leaving the plane. It can work apparently. The recommendation would have to be for this experience as many were not so good.
London Heathrow Airport customer review,0,W Meadowcroft,United Kingdom,22nd September 2014,unverified,Terminal 5. The security checks carried out by Border Security is just ridiculous disorganised not enough desks open or staff available it was abysmal. We travelled back into the UK from San Francisco at the US end the security checks are more organised quicker and more efficient. They are set up to handle volume not Heathrow T5 it is a joke will not be going there again. Take my advice stay clear use other airlines even go to Amsterdam to go to the US not Heathrow T5.
London Heathrow Airport customer review,0,C Hall,United Kingdom,22nd September 2014,unverified,Taxis. Anyone wanting a black cab especially late at night not wanting to go into central London beware of the shambles that is the queue for cabs. It is managed but you may find that when it comes to your turn the cabbie won't be interested or will want a fare out of proportion to the journey distance (it's to do with the stupid licensing arrangement they have from TFl's taxis dept) leaving you having wasted your time. The queue operative may approach cabs further down the line - but no guarantee that other drivers will take you either. Seems that a lot don't have card readers in their cabs either. There are private hire taxis in the terminal - my advice is to use one of those instead and it may well be much cheaper.
London Heathrow Airport customer review,6,Kuhan Jandiah Chelvanathan,Malaysia,19th September 2014,unverified,"Transited through LHR to JFK from KUL and the airport has good connections for flights to various parts of the world. However they need to improve on the security screening and its staff. I noticed that the staff were ""selective"" in the passengers who had to undergo additional screening based on stereotypes according to my observation. The transfer desk and security at Terminal 4 could do with some improvements on their tone of voice (when dealing with certain passengers) as well as the building interior itself. Terminal 5 is a nice terminal and is more systematic. Bus transfers were efficient. Free internet limited to 45 minutes only at LHR."
London Heathrow Airport customer review,9,S I'Anson,United Kingdom,19th September 2014,unverified,Flew from T2 Heathrow to Newark New Jersey and the staff and atmosphere could not have been more different. The T2 staff were polite and helpful (unlike the Newark staff on arrival who were rude and arrogant). There appeared to be an abundance of staff within the duty free area and restaurants who were extremely pleasant and helpful which made for a great start to our city break. Would definitely be happy to fly from this terminal again.
London Heathrow Airport customer review,0,James Kalat,United States,17th September 2014,unverified,We were changing planes from a flight from South Africa to a flight to the US. We didn't know we would have to go through airport security and I absent-mindedly kept a water bottle in my carry-on. This meant they had to go through every item in my luggage while insulting me for not knowing the rules. They also decided to go through my wife's carry-on because it had an odd-shaped object. But first we had to wait while they went through half a dozen other people's carry-ons extremely slowly occasionally taking a break to do something else. The lady in front of us missed her plane because of the long wait. They seemed to be deliberately slow and deliberately rude. In the future we shall book all our European trips through Amsterdam instead of London.
London Heathrow Airport customer review,9,Brian Hill,United Kingdom,17th September 2014,unverified,T2 to and from Cork. Absolutely no complaints short walk to check-in short walk through security (but there seems to be some problems with the photo ID system - photo taken at entrance caused problems at boarding - no idea why) staff courteous I have a replacement hip but I was dealt with easily. Very quiet in the lounge area - was a Sunday lunchtime a decent selection of places to eat - recommend London's Pride. Lots of seats but what it will be like when fully occupied maybe a problem. Return was easy short if somewhat convoluted walk to the baggage hall no border controls to worry about waited maybe 20 minutes for the baggage to arrive. Then finally short walk to the short stay car park. It is 42 years since I first flew from (the old) T2; but this is how terminals should be.
London Heathrow Airport customer review,9,T Patrick,Hong Kong,14th September 2014,unverified,T5. Considering the numbers they do a pretty good job. BA strict about not checking in too early (3 hours) but I parked myself at a coffee shop to wait. Lines in ok. Nice food options bit of shopping all clean and tidy. Airport staff positioned in busy areas to help. Gordon Ramsey restaurant is great! I always stop there on route. Security is pretty strict but considering most pax act like they've never left the country (leaving coats on change in pockets etc) they do a good job.
London Heathrow Airport customer review,3,Amanda Takel,United Kingdom,10th September 2014,unverified,Arrived back from Canada yesterday flying into T2 Heathrow. The distances between gate and the border are ridiculous funny how departure seemed easier than arrival. Border lines long as expected but went through the electronic gates which worked but could have done without the three women who were overseeing the gates. They looked very stressed and acted like it. The baggage reclaim however is fundamentally flawed. The baggage carousel does not work. The new system is supposed to stop bags entering the belt electronically stopping bags until there is a space on the belt. If there isn't a space then the bags stop coming up from the handlers below. As the flight had a lot of people waiting to go through the border we stood and waited until someone reclaimed their bags and another one could enter the belt. Eventually a couple of baggage workers arrived and started moving the bags on the belt to make space for other bags. Clearly the bags were being held below and they were trying to sort it out. I chatted with them and it seems that this happens all the time. TIP! Push the bags together if you can you are more likely to get your bags in a decent time frame. Very disappointing.
London Heathrow Airport customer review,2,L Nieman,United Kingdom,10th September 2014,unverified,Customs queues are some of the slowest I have seen. Terrible. It can be expected to wait up to an hour to get through if you don't have a British passport - and this is coming from someone with permanent residency here.
London Heathrow Airport customer review,8,J Tydeman,United Kingdom,10th September 2014,unverified,Flew out of and back into Heathrow for a flight to France. Checked in within under a minute. Short wait at scanners but no queue at immigration on return. Good range of restaurants but very expensive shops as always and terrible queues in WH Smiths.
London Heathrow Airport customer review,3,S Boyd,United Kingdom,6th September 2014,unverified,Slow slow slow security and passport queues at Heathrow (and we were British Passport holders). Departing LAX everything went smoothly the Americans seem so much better than us at handling airport security and they don't see the need for laptops to be taken out of bags so why do we here in the UK? Long queues here at Heathrow whilst transferring from the inbound international flight to transfer to our domestic departure to Manchester. As a BA customer we were eligible to use the fast track section but that didn't speed things up because the security staff not coping at all well just opened that up to all passengers simply making things worse. One security lady wasn't even able to track which passengers were putting which bags on the x-ray machine belt. If possible don't transfer via Heathrow!
London Heathrow Airport customer review,2,Simon Aglionby,United Kingdom,6th September 2014,unverified,Terminal 2 on day 5 of Turkish Airlines occupation. Had to wait on taxi-way for 20 minutes because our gate was occupied - don't get that there were many unoccupied gates. Our gate was a 20 minute hike to the central areas - given the lack of occupancy would have been nicer if we'd been closer in.. Almost no people around (4pm on a Monday) so no queues at Immigration and the eGates worked well and quickly - maybe 10 seconds to clear Passport control! Then an hour for our luggage. The belt started. Then stopped. Then started again and some bags appeared. But then it stopped again for about half an hour. An engineer came and moved some bags around on the feeders and eventually all was good. A frustrating end to a good week's holiday and a very poor first experience of the new LHR T2. I know they'll fix it in the end but right now I couldn't recommend T2 as a gateway to the world.
London Heathrow Airport customer review,9,Jim Delargy,United Kingdom,1st September 2014,unverified,Terminal 2. We were on a day trip to London for football match. This was our first trip using T2 as Aer Lingus have just moved there from T1. What a shock to find a spacious clean modern terminal! Both arriving and departing were pleasant experiences by airport standards. We had no luggage but security had plenty of open lanes and chatty friendly staff. We had checked in online so have no knowledge of the check in facilities. Plenty of dining options. The only problem was that the signs told us 'please wait' and gave no gate details. It was only when a announcement was made that anyone knew where to go. Apart from that T2 was great and we will not miss the nightmare of T1 with the twenty minute trudge to the backside of nowhere to wait in a glorified tin hut!
London Heathrow Airport customer review,9,N Kutlesic,Serbia,1st September 2014,unverified,Well this is a very busy airport with a lot of terminals gates facilities and a lot of really interested shops. At our arrival there was a huge queue for visa and passport examination and that should be organised better. Five or six desks didn't work and that number that is present at terminal four just isn't enough for all those people there. Something else that I didn't like was some kind of form that you have to fill in while waiting there are no tables or desks when you can put a pen and form while filling it so you have to fill it in while standing and/or walking in the line. There is no sign that you need to fill that in there are just a few spots to take those forms (and to take them you have to step out of line). After a two-hour long wait we finally finished with that queue and went to baggage claim where again are no signs for which flight is which baggage claim terminal. Fortunately one assistant helped us with that. On flight back home things were much more pleasant everything was quick well-marked there is a lot of duty-free shops and of course there is a lot of stuff members all polite and ready to help. Airport is connected with Tube station by elevator which is well marked and good because a lot of people take the subway. If you are visiting London this is a good airport but if you change your flight Heathrow isn't that good solution maybe Gatwick or even Paris or Brussels airport will be fine.
London Heathrow Airport customer review,0,Pam Walmsley,Australia,1st September 2014,unverified,I have been travelling throughout Europe and UK for 2 months. I have had the misfortune to have had to enter the UK through Heathrow airport. The processing of arrivals is disgraceful and extremely inefficient. On the first occasion it took over an hour to get through UK border. I write this review as I am standing in line for over 1 hour now and I have just reached the sign that tells me it will take at least another half an hour. This is pathetic for a country like the UK to show the world how hopeless you are at organisation . I will never return to the UK through Heathrow again it's a disgrace. It's mid afternoon on Tuesday 26th August 2014 and still Heathrow cannot cope with the people coming to this country in an efficient manner. Never experienced anything like this at any other airport. Wake up and get better. Everywhere else can do it better than you.
London Heathrow Airport customer review,2,Peter Taylor,Australia,1st September 2014,unverified,T3 the check in was good but there it ends once in the hands of the security screening it is nothing short of pathetic. Primary screening is very slow staff seem to keep changing jobs so everything stops while they very leisurely swap positions. There seem to be lots of staff just standing around doing nothing to relieve the chronic congestion and about every third passenger gets picked for secondary hand luggage screen which is manned by just one person so expect about another 30 minutes delay. The large percentage of secondary screening suggests either Heathrow passengers are particularly naive about what is allowed or the screening staff and or the equipment needs a good upgrade because this level of now the manual search I have not experienced anywhere else. I watched this process for some waiting on the change of the guard and it involves every single item being removed in search of I am not sure what because I didn't see anything confiscated. Then a swab is taken and taken to a machine about as far away from the search point as possible so more delay.
London Heathrow Airport customer review,4,M de Groot,Netherlands,26th August 2014,unverified,On itself T4 isn't too bad however immigration is a nightmare. When these e-passport gates Do not work prepare having to queue for a long time. Airside service in shops can be really bad. Staff really do not care and do they even speak English? The good thing is there's a smokers area!
London Heathrow Airport customer review,0,David Richey,United States,20th August 2014,unverified,The congestion problem at the security has multiple causes. 1) The gender-gated system of having one male and one female officer to screen persons coming through the gate is wildly inefficient. Any single exceptional case such as an artificial joint leads to that agent being dedicated to that single passenger while every other passenger of the same gender must wait at the gate - this can lead to dozens of one gender just standing there at the scanner gate while the bags pile up at the other end of the belt. Anyone with the slightest math competence can tell you that simply passing on the exceptional passengers to a SEPARATE line and letting the non-exceptional passengers continue would materially enhance passenger flow. Both of my recent times exceeded 30 minutes which gives the lie to their claim to clear 95% in 10 minutes at peak times. 2) It's astonishing that a newish terminal could be designed in such a way that the security lines overwhelm the space available for queuing. Chaotic. 3) The security staff do not seem happy in their work which leads to coarse brittle behavior by them.
London Heathrow Airport customer review,0,David Arter,Australia,18th August 2014,unverified,Clearing Customs at Terminal 5 was appalling this morning (Monday 18th August 2014). We only had one Customs representative for the first half an hour for both EU and International arrivals! To make matters worse she gave priority to the EU line! When a second customs representative arrived she too gave priority to the EU line making several international arrivals late for their planes. I myself was stopped from going through when an EU customer just happened to arrive. When I chipped them they were very rude and unapologetic. Full marks however to a lovely lady who as a Customs representative tried her level best to ensure people were attended to in order despite their being several queues. This poor lady was visibly embarrassed and quite ashamed of her work colleagues for their rude and unprofessional behaviour.
London Heathrow Airport customer review,10,Kevin Barrance,United Kingdom,15th August 2014,unverified,I'm not sure if I'm particularly lucky or that the reviewers are being particularly picky but I find travelling through T5 remarkably civilised and trouble-free. Went out to Shanghai on 25/7 - an extremely busy day but had no issues at all with check-in or security. No delays. Coming back on 9/8 was the same story - through passport control and a short wait for bags. More than satisfied.
London Heathrow Airport customer review,1,Robert Marshall,United Kingdom,15th August 2014,unverified,Departed London Heathrow (LHR) terminal 2 on 22/07/2014. Arrived terminal 1 12/08/2014. Arrived at T2 over 3 hours before departure. Good signage to indicate check in zones. Check-in for Star Alliance flights is generic and the entire process was chaotic with passengers about to miss their flight being constantly pulled out of the snaking queue system and fast tracked to a check-in desk. Despite it being the 1st week of school summer holidays and 5 Star Alliance flights checking-in simultaneously not all check-in desks were manned. Check in staff were minimally communicative. Eventually got checked in then came the security 'experience'. Long queues for security. My cabin bag was selected for further checks which required a further long wait as there were several bags selected for further checks and just 1 member of staff doing this - in the 1st week of school summer holidays! The additional security checks on my back-pack must have taken about 40 minutes by the time the 1 member of staff got to my bag had checked everything swabbed everything put the swab through the ionmiser re-xrayed everything and then I had to re-pack everything. Eventually completed security clearance had a quick trip to the toilets (clean) and got to departure gate with about 10 minutes to spare. At departure gate a sullen non-communicative member of ground handling staff. Airbridge was broken so down two flights of stairs and walk to aircraft. On arrival on 12/08 after spending an extraordinary amount of time going around in circles above London we eventually landed followed by a very long taxi to airbridge. Good signage in terminal. Clean and plentiful toilets. Very long walk to T1 UK border from where aircraft parked. Reasonable queues at UK border handled by pleasant UK border staff. Baggage reclaim no problems as baggage already on carousel when we got there. The final insult: sitting in the grid-locked traffic at about 22:45 outside of T1 car park for about 15 minutes wondering why we're not moving. My advice: if departing T2 get there at least 3 hours before hand (preferably more) and hope that you can just about make it to your flight or better yet avoid LHR T2 if at all possible.
London Heathrow Airport customer review,1,C Schaefer,Switzerland,15th August 2014,unverified,"Terminal 1 - Bag Drop. 10 Aug 17.00 hr - horribly long queue - we could not believe what we saw in a ""modern"" airport. It takes 45 minutes plus just for bag drop. Staff told us it is always like this. Just awful! After this long wait a very long walk to departure gate which was in Terminal 2."
